Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Note
07-10-2024,CRM,YAHOO,USD,278.00,8,sell,1.00,Salesforce - gain
14-10-2024,NOW,YAHOO,USD,920.00,2,sell,0,ServiceNow - gain
21-10-2024,TSLA,YAHOO,USD,215.00,15,buy,4.95,Tesla - buying back
28-10-2024,PLTR,YAHOO,USD,42.00,40,buy,0,Palantir - buying back
04-11-2024,SMCI,YAHOO,USD,24.00,30,buy,1.00,Super Micro Computer - collapse buy
11-11-2024,TSLA,YAHOO,USD,328.00,10,sell,4.95,Tesla - huge post-election gain
18-11-2024,PLTR,YAHOO,USD,62.00,25,sell,0,Palantir - big gain
22-11-2024,SMCI,YAHOO,USD,33.00,20,sell,1.00,SMCI - gain from bottom
02-12-2024,AVGO,YAHOO,USD,192.00,6,buy,4.95,Broadcom - buying back
09-12-2024,TSLA,YAHOO,USD,370.00,5,sell,0,Tesla remaining - more gain
16-12-2024,PLTR,YAHOO,USD,71.00,15,sell,4.95,Palantir remaining - even bigger gain
